dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
168,83332,Rv0098,,E,14569030,
168,83332,Rv0099,,E,14569030,
168,83332,Rv0100,,E,14569030,
168,83332,Rv0101,,E,14569030,
168,83332,Rv0169,,E,14569030,
168,83332,Rv0170,,E,14569030,
168,83332,Rv0171,,E,14569030,
168,83332,Rv0173,,E,14569030,
168,83332,Rv0175,,E,14569030,
168,83332,Rv0176,,E,14569030,
168,83332,Rv0199,,E,14569030,
168,83332,Rv0204c,,E,14569030,
168,83332,Rv0216,,E,14569030,
168,83332,Rv0218,,E,14569030,
168,83332,Rv0249c,,E,14569030,
168,83332,Rv0326,,E,14569030,
168,83332,Rv0414c,,E,14569030,
168,83332,Rv0427c,,E,14569030,
168,83332,Rv0470c,,E,14569030,
168,83332,Rv0490,,E,14569030,
168,83332,Rv0566c,,E,14569030,
168,83332,Rv0636,,E,14569030,
168,83332,Rv0643c,,E,14569030,
168,83332,Rv0655,,E,14569030,
168,83332,Rv0670,,E,14569030,
168,83332,Rv0687,,E,14569030,
168,83332,Rv0950c,,E,14569030,
168,83332,Rv1013,,E,14569030,
168,83332,Rv1016c,,E,14569030,
168,83332,Rv1021,,E,14569030,
168,83332,Rv1028c,,E,14569030,
168,83332,Rv1092c,,E,14569030,
168,83332,Rv1099c,,E,14569030,
168,83332,Rv1109c,,E,14569030,
168,83332,Rv1111c,,E,14569030,
168,83332,Rv1128c,,E,14569030,
168,83332,Rv1144,,E,14569030,
168,83332,Rv1183,,E,14569030,
168,83332,Rv1184c,,E,14569030,
168,83332,Rv1185c,,E,14569030,
168,83332,Rv1192,,E,14569030,
168,83332,Rv1204c,,E,14569030,
168,83332,Rv1211,,E,14569030,
168,83332,Rv1224,,E,14569030,
168,83332,Rv1235,,E,14569030,
168,83332,Rv1236,,E,14569030,
168,83332,Rv1237,,E,14569030,
168,83332,Rv1238,,E,14569030,
168,83332,Rv1244,,E,14569030,
168,83332,Rv1272c,,E,14569030,
168,83332,Rv1284,,E,14569030,
168,83332,Rv1304,,E,14569030,
168,83332,Rv1323,,E,14569030,
168,83332,Rv1332,,E,14569030,
168,83332,Rv1333,,E,14569030,
168,83332,Rv1338,,E,14569030,
168,83332,Rv1371,,E,14569030,
168,83332,Rv1405c,,E,14569030,
168,83332,Rv1410c,,E,14569030,
168,83332,Rv1411c,,E,14569030,
168,83332,Rv1422,,E,14569030,
168,83332,Rv1460,,E,14569030,
168,83332,Rv1465,,E,14569030,
168,83332,Rv1469,,E,14569030,
168,83332,Rv1514c,,E,14569030,
168,83332,Rv1524,,E,14569030,
168,83332,Rv1560,,E,14569030,
168,83332,Rv1568,,E,14569030,
168,83332,Rv1569,,E,14569030,
168,83332,Rv1589,,E,14569030,
168,83332,Rv1590,,E,14569030,
168,83332,Rv1640c,,E,14569030,
168,83332,Rv1653,,E,14569030,
168,83332,Rv1696,,E,14569030,
168,83332,Rv1710,,E,14569030,
168,83332,Rv1807,,E,14569030,
168,83332,Rv1821,,E,14569030,
168,83332,Rv1930c,,E,14569030,
168,83332,Rv1931c,,E,14569030,
168,83332,Rv1939,,E,14569030,
168,83332,Rv1974,,E,14569030,
168,83332,Rv2004c,,E,14569030,
168,83332,Rv2038c,,E,14569030,
168,83332,Rv2040c,,E,14569030,
168,83332,Rv2048c,,E,14569030,
168,83332,Rv2063c,,E,14569030,
168,83332,Rv2072c,,E,14569030,
168,83332,Rv2211c,,E,14569030,
168,83332,Rv2224c,,E,14569030,
168,83332,Rv2231c,,E,14569030,
168,83332,Rv2241,,E,14569030,
168,83332,Rv2275,,E,14569030,
168,83332,Rv2277c,,E,14569030,
168,83332,Rv2335,,E,14569030,
168,83332,Rv2359,,E,14569030,
168,83332,Rv2374c,,E,14569030,
168,83332,Rv2387,,E,14569030,
