,reaction,lower_bound,upper_bound,is_reversible,name,flux
CYTDK2,CYTDK2,0.0,1000.0,False,Cytidine kinase (GTP),0.0
XPPT,XPPT,0.0,1000.0,False,Xanthine phosphoribosyltransferase,0.0
HXPRT,HXPRT,0.0,1000.0,False,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),0.0
NDPK5,NDPK5,-1000.0,1000.0,True,Nucleoside-diphosphate kinase (ATP:dGDP),0.0
SHK3Dr,SHK3Dr,-1000.0,1000.0,True,Shikimate dehydrogenase,0.3132028066658422
NDPK6,NDPK6,-1000.0,1000.0,True,Nucleoside-diphosphate kinase (ATP:dUDP),0.0
NDPK8,NDPK8,-1000.0,1000.0,True,Nucleoside-diphosphate kinase (ATP:dADP),0.0
DHORTS,DHORTS,-1000.0,1000.0,True,Dihydroorotase,-0.2718466474540228
OMPDC,OMPDC,0.0,1000.0,False,Orotidine-5'-phosphate decarboxylase,0.2718466474540228
PYNP2r,PYNP2r,-1000.0,1000.0,True,Pyrimidine-nucleoside phosphorylase (uracil),0.0
G5SD,G5SD,0.0,1000.0,False,Glutamate-5-semialdehyde dehydrogenase,0.18166254221783582
CS,CS,0.0,1000.0,False,Citrate synthase,5.280300235246014
ICDHyr,ICDHyr,-1000.0,1000.0,True,Isocitrate dehydrogenase (NADP),5.280300235246012
ALATA_L2,ALATA_L2,0.0,1000.0,False,Alanine transaminase,0.0
DURIPP,DURIPP,-1000.0,1000.0,True,Deoxyuridine phosphorylase,0.0
ACALD,ACALD,-1000.0,1000.0,True,Acetaldehyde dehydrogenase (acetylating),0.0
PTRCTA,PTRCTA,0.0,1000.0,False,Putrescine Transaminase,0.0
ACS,ACS,0.0,1000.0,False,Acetyl-CoA synthetase,0.0
CYSDS,CYSDS,0.0,1000.0,False,Cysteine Desulfhydrase,0.0
MAN6PI,MAN6PI,-1000.0,1000.0,True,Mannose-6-phosphate isomerase,0.0
PPA,PPA,0.0,1000.0,False,Inorganic diphosphatase,2.8775772378630338
APRAUR,APRAUR,0.0,1000.0,False,5-amino-6-(5-phosphoribosylamino)uracil reductase,0.00036652187839749414
TRPAS2,TRPAS2,-1000.0,1000.0,True,Tryptophanase (L-tryptophan),-0.04671345994113883
PPCK,PPCK,0.0,1000.0,False,Phosphoenolpyruvate carboxykinase,0.0
ME1,ME1,0.0,1000.0,False,Malic enzyme (NAD),0.0
DB4PS,DB4PS,0.0,1000.0,False,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",0.0007330437567949883
ALAR,ALAR,-1000.0,1000.0,True,Alanine racemase,0.0342541814694254
RBFK,RBFK,0.0,1000.0,False,Riboflavin kinase,0.00018326093919875458
ALATA_L,ALATA_L,-1000.0,1000.0,True,L-alanine transaminase,-0.8259118540823702
XYLK,XYLK,0.0,1000.0,False,Xylulokinase,0.0
RBK,RBK,0.0,1000.0,False,Ribokinase,0.0
GLYK,GLYK,0.0,1000.0,False,Glycerol kinase,0.0
PPM,PPM,-1000.0,1000.0,True,Phosphopentomutase,-0.7670201705625195
ASPTA,ASPTA,-1000.0,1000.0,True,Aspartate transaminase,-2.406078891423998
ACP1_FMN,ACP1_FMN,0.0,1000.0,False,Acid phosphatase (FMN),0.0
RBFSb,RBFSb,0.0,1000.0,False,Riboflavin synthase,0.0003665218783974942
NDP3,NDP3,0.0,1000.0,False,Nucleoside diphosphatase  GDP ,0.0
CDPPH,CDPPH,0.0,1000.0,False,CDP phosphohydrolase,0.0
NDP7,NDP7,0.0,1000.0,False,Nucleoside diphosphatase  UDP ,0.0
FBP,FBP,0.0,1000.0,False,Fructose-bisphosphatase,0.0
EX_pi_e,EX_pi_e,-1000.0,1000.0,True,Phosphate exchange,-0.7927112175634895
GLGC,GLGC,0.0,1000.0,False,Glucose-1-phosphate adenylyltransferase,0.0
ALATA_D2,ALATA_D2,0.0,1000.0,False,D-alanine transaminase,0.0
PYK,PYK,0.0,1000.0,False,Pyruvate kinase,0.0
SHCHD2,SHCHD2,0.0,1000.0,False,Sirohydrochlorin dehydrogenase (NAD),0.00018326093919873964
EX_co2_e,EX_co2_e,-1000.0,1000.0,True,CO2 exchange,21.755337786783848
A5PISO,A5PISO,-1000.0,1000.0,True,Arabinose-5-phosphate isomerase,0.031977801193279635
PMDPHT,PMDPHT,0.0,1000.0,False,Pyrimidine phosphatase,0.00036652187839749414
CPPPGO,CPPPGO,0.0,1000.0,False,Coproporphyrinogen oxidase (O2 required),0.00018326093919873967
EX_met__L_e,EX_met__L_e,0.0,1000.0,False,L-Methionine exchange,0.0
GTHOr,GTHOr,-1000.0,1000.0,True,Glutathione oxidoreductase,0.0
ILETA,ILETA,-1000.0,1000.0,True,Isoleucine transaminase,-0.2387561318586127
DHORD5,DHORD5,0.0,1000.0,False,Dihydroorotic acid (menaquinone-8),0.0
EX_metsox_S__L_e,EX_metsox_S__L_e,0.0,1000.0,False,L-Methionine S-oxide exchange,0.0
GLYCTO2,GLYCTO2,0.0,1000.0,False,Glycolate oxidase,0.0
VALTA,VALTA,-1000.0,1000.0,True,Valine transaminase,0.0
GLYCTO3,GLYCTO3,0.0,1000.0,False,Glycolate oxidase,0.0
IPPMIb,IPPMIb,-1000.0,1000.0,True,2-isopropylmalate hydratase,-0.3702454448347416
GLYCTO4,GLYCTO4,0.0,1000.0,False,Glycolate oxidase,0.0
ORPT,ORPT,-1000.0,1000.0,True,Orotate phosphoribosyltransferase,-0.2718466474540228
RBFSa,RBFSa,0.0,1000.0,False,Riboflavin synthase,0.0007330437567949883
ACHBS,ACHBS,0.0,1000.0,False,2-aceto-2-hydroxybutanoate synthase,0.2387561318586127
PFK_3,PFK_3,0.0,1000.0,False,Phosphofructokinase (s7p),0.0
DHAD2,DHAD2,0.0,1000.0,False,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",0.2387561318586127
ACLS,ACLS,0.0,1000.0,False,Acetolactate synthase,0.7185529938313198
TRPS2,TRPS2,0.0,1000.0,False,Tryptophan synthase (indole),0.0
PSCVT,PSCVT,-1000.0,1000.0,True,3-phosphoshikimate 1-carboxyvinyltransferase,0.3132028066658422
G3PD5,G3PD5,0.0,1000.0,False,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),0.0
G1PP,G1PP,0.0,1000.0,False,Glucose-1-phosphatase,0.0
PFL,PFL,0.0,1000.0,False,Pyruvate formate lyase,0.0
EX_acgam_e,EX_acgam_e,0.0,1000.0,False,N-Acetyl-D-glucosamine exchange,0.0
ANS,ANS,0.0,1000.0,False,Anthranilate synthase,0.04671345994113881
FRD2,FRD2,0.0,1000.0,False,Fumarate reductase,0.0
FRD3,FRD3,0.0,1000.0,False,Fumarate reductase,0.0
ANPRT,ANPRT,0.0,1000.0,False,Anthranilate phosphoribosyltransferase,0.04671345994113881
POX,POX,0.0,1000.0,False,Pyruvate oxidase,0.0
CHORM,CHORM,0.0,1000.0,False,Chorismate mutase,0.2657563029679158
PTAr,PTAr,-1000.0,1000.0,True,Phosphotransacetylase,1.7783769369901528
CHORS,CHORS,0.0,1000.0,False,Chorismate synthase,0.3132028066658422
IGPS,IGPS,0.0,1000.0,False,Indole-3-glycerol-phosphate synthase,0.04671345994113883
ACKr,ACKr,-1000.0,1000.0,True,Acetate kinase,-1.778376936990153
