reaction_id,name,lower_bound,upper_bound,is_reversible,reaction_string,flux
CYTDK2,Cytidine kinase (GTP),0.0,1000.0,False,cytd_c + gtp_c --> cmp_c + gdp_c + h_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
XPPT,Xanthine phosphoribosyltransferase,0.0,1000.0,False,prpp_c + xan_c --> ppi_c + xmp_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),0.0,1000.0,False,hxan_c + prpp_c --> imp_c + ppi_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),-1000.0,1000.0,True,atp_c + dgdp_c <=> adp_c + dgtp_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
SHK3Dr,Shikimate dehydrogenase,-1000.0,1000.0,True,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP),-1000.0,1000.0,True,atp_c + dudp_c <=> adp_c + dutp_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
NDPK8,Nucleoside-diphosphate kinase (ATP:dADP),-1000.0,1000.0,True,atp_c + dadp_c <=> adp_c + datp_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
DHORTS,Dihydroorotase,-1000.0,1000.0,True,dhor__S_c + h2o_c <=> cbasp_c + h_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
OMPDC,Orotidine-5'-phosphate decarboxylase,0.0,1000.0,False,h_c + orot5p_c --> co2_c + ump_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),-1000.0,1000.0,True,pi_c + uri_c <=> r1p_c + ura_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
G5SD,Glutamate-5-semialdehyde dehydrogenase,0.0,1000.0,False,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,"CYTDK2     0.000000e+00
XPPT       0.000000e+00
HXPRT      0.000000e+00
NDPK5      4.518991e-16
SHK3Dr     3.132028e-01
               ...     
MPTS       0.000000e+00
MOCOS      0.000000e+00
BMOGDS2    0.000000e+00
FESD2s     0.000000e+00
OCTNLL     0.000000e+00
Name: fluxes, Length: 2712, dtype: float64"
