,Gene,Prediction,Measured_growth,Growth_cutoff,Computational_growth,Condition,Dataset
22114,b0002,FP,"0,013333333","0,5","0,8217979336",Glucose,Monk 2015
22115,b0003,TN,0,"0,5",0,Glucose,Monk 2015
22116,b0004,TN,0,"0,5",0,Glucose,Monk 2015
22117,b0007,TP,"1,073333333","0,5","0,8217979336",Glucose,Monk 2015
22118,b0008,TP,"0,985","0,5","0,8217979336",Glucose,Monk 2015
22119,b0009,TP,"1,043333333","0,5","0,8217979336",Glucose,Monk 2015
22120,b0010,TP,"0,966666667","0,5","0,8043091833",Glucose,Monk 2015
22121,b0019,TP,"0,936666667","0,5","0,8217979336",Glucose,Monk 2015
22122,b0025,TN,0,"0,5",0,Glucose,LB_essential
22123,b0029,TN,0,"0,5",0,Glucose,LB_essential
22124,b0030,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22125,b0031,TN,0,"0,5",0,Glucose,LB_essential
22126,b0032,FP,0,"0,5","0,8217979336",Glucose,Monk 2015
22127,b0033,FP,0,"0,5","0,8217979336",Glucose,Monk 2015
22128,b0036,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22129,b0037,TP,"1,016666667","0,5","0,8217979336",Glucose,Monk 2015
22130,b0038,TP,"1,026666667","0,5","0,8217979336",Glucose,Monk 2015
22131,b0040,TP,"1,06","0,5","0,8217979336",Glucose,Monk 2015
22132,b0046,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22133,b0047,TP,"1,113333333","0,5","0,8217979336",Glucose,Monk 2015
22134,b0048,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22135,b0049,TP,"0,793333333","0,5","0,8217979336",Glucose,Monk 2015
22136,b0052,TN,"0,136666667","0,5",0,Glucose,Monk 2015
22137,b0054,TN,0,"0,5",0,Glucose,LB_essential
22138,b0066,TP,"1,103333333","0,5","0,8217979336",Glucose,Monk 2015
22139,b0067,TP,"0,97","0,5","0,8217979336",Glucose,Monk 2015
22140,b0068,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22141,b0070,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22142,b0071,TN,0,"0,5",0,Glucose,Monk 2015
22143,b0072,TN,0,"0,5",0,Glucose,Monk 2015
22144,b0073,FP,0,"0,5","0,8217979336",Glucose,Monk 2015
22145,b0074,TN,0,"0,5",0,Glucose,Monk 2015
22146,b0077,TP,"0,78","0,5","0,8217979336",Glucose,Monk 2015
22147,b0078,TP,"0,833333333","0,5","0,8217979336",Glucose,Monk 2015
22148,b0084,TN,0,"0,5",0,Glucose,LB_essential
22149,b0085,TN,0,"0,5",0,Glucose,LB_essential
22150,b0086,TN,0,"0,5",0,Glucose,LB_essential
22151,b0087,TN,0,"0,5",0,Glucose,LB_essential
22152,b0088,TN,0,"0,5",0,Glucose,LB_essential
22153,b0089,TN,0,"0,5",0,Glucose,LB_essential
22154,b0090,TN,0,"0,5",0,Glucose,LB_essential
22155,b0091,TN,0,"0,5",0,Glucose,LB_essential
22156,b0092,TP,"1,101666667","0,5","0,8217979336",Glucose,Monk 2015
22157,b0096,TN,0,"0,5",0,Glucose,LB_essential
22158,b0099,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22159,b0103,TN,0,"0,5",0,Glucose,LB_essential
22160,b0104,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22161,b0109,TN,0,"0,5",0,Glucose,Monk 2015
22162,b0110,TP,"0,93","0,5","0,8217979336",Glucose,Monk 2015
22163,b0112,TP,"1,026666667","0,5","0,8217979336",Glucose,Monk 2015
22164,b0114,TP,"0,856666667","0,5","0,7886610023",Glucose,Monk 2015
22165,b0115,TP,"0,85","0,5","0,7886610023",Glucose,Monk 2015
22166,b0116,FP,"0,22","0,5","0,7582719433",Glucose,Monk 2015
22167,b0118,TP,"0,743333333","0,5","0,8217979336",Glucose,Monk 2015
22168,b0120,TP,"0,883333333","0,5","0,8217979336",Glucose,Monk 2015
22169,b0121,TP,"0,7","0,5","0,8217979336",Glucose,Monk 2015
22170,b0123,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22171,b0124,TP,"1,016666667","0,5","0,8217979336",Glucose,Monk 2015
22172,b0125,TP,"0,97","0,5","0,8217979336",Glucose,Monk 2015
22173,b0126,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22174,b0131,FN,"0,833333333","0,5",0,Glucose,Monk 2015
22175,b0133,FN,"0,533333333","0,5","0,0000000003333544961",Glucose,Monk 2015
22176,b0134,FN,"0,7","0,5",0,Glucose,Monk 2015
22177,b0142,TN,0,"0,5",0,Glucose,LB_essential
22178,b0149,TP,"0,773333333","0,5","0,8217979336",Glucose,Monk 2015
22179,b0150,TP,"1,06","0,5","0,8217979336",Glucose,Monk 2015
22180,b0151,TP,"1,053333333","0,5","0,8217979336",Glucose,Monk 2015
22181,b0152,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22182,b0153,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22183,b0154,TN,0,"0,5",0,Glucose,LB_essential
22184,b0155,TP,"1,02","0,5","0,8217936734",Glucose,Monk 2015
22185,b0158,TP,"1,083333333","0,5","0,8217979336",Glucose,Monk 2015
22186,b0159,TN,"0,493333333","0,5",0,Glucose,Monk 2015
22187,b0160,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22188,b0166,TN,0,"0,5",0,Glucose,LB_essential
22189,b0171,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22190,b0173,TN,0,"0,5",0,Glucose,LB_essential
22191,b0174,TN,0,"0,5",0,Glucose,LB_essential
22192,b0175,TN,0,"0,5",0,Glucose,LB_essential
22193,b0179,TN,0,"0,5",0,Glucose,LB_essential
22194,b0180,TN,0,"0,5",0,Glucose,LB_essential
22195,b0181,TN,0,"0,5",0,Glucose,LB_essential
22196,b0182,TN,0,"0,5",0,Glucose,LB_essential
22197,b0185,TN,0,"0,5",0,Glucose,LB_essential
22198,b0186,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22199,b0197,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22200,b0198,TP,"1,063333333","0,5","0,8217979336",Glucose,Monk 2015
22201,b0199,TP,"1,116666667","0,5","0,8217979336",Glucose,Monk 2015
22202,b0200,TP,"0,96","0,5","0,8217979336",Glucose,Monk 2015
22203,b0207,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22204,b0211,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22205,b0212,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22206,b0221,TP,"0,986666667","0,5","0,8075924361",Glucose,Monk 2015
22207,b0222,TP,"0,953333333","0,5","0,8217979336",Glucose,Monk 2015
22208,b0237,TP,"0,956666667","0,5","0,8217979336",Glucose,Monk 2015
22209,b0238,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22210,b0241,TP,"1,031666667","0,5","0,8217979336",Glucose,Monk 2015
22211,b0242,TN,0,"0,5",0,Glucose,Monk 2015
22212,b0243,TN,0,"0,5",0,Glucose,Monk 2015
22213,b0260,TP,"1,031666667","0,5","0,8217979336",Glucose,Monk 2015
22214,b0261,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22215,b0268,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22216,b0269,TP,"1,04","0,5","0,8217979336",Glucose,Monk 2015
22217,b0273,TP,"1,015","0,5","0,8217979336",Glucose,Monk 2015
22218,b0306,TP,"1,005","0,5","0,8217979336",Glucose,Monk 2015
22219,b0307,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22220,b0308,TP,"1,07","0,5","0,8217979336",Glucose,Monk 2015
22221,b0311,TP,"1,036666667","0,5","0,8217979336",Glucose,Monk 2015
22222,b0312,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22223,b0314,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22224,b0315,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22225,b0325,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22226,b0331,TP,"1,01","0,5","0,8217979336",Glucose,Monk 2015
22227,b0333,TP,"1,038333333","0,5","0,8217979336",Glucose,Monk 2015
22228,b0334,TP,"1,04","0,5","0,8217979336",Glucose,Monk 2015
22229,b0335,TP,"0,99","0,5","0,8217979336",Glucose,Monk 2015
22230,b0336,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22231,b0337,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22232,b0339,TP,"1,016666667","0,5","0,8217979336",Glucose,Monk 2015
