reaction_id,name,lower_bound,upper_bound,is_reversible,reaction_string
CYTDK2,Cytidine kinase (GTP),0.0,1000.0,False,cytd_c + gtp_c --> cmp_c + gdp_c + h_c
XPPT,Xanthine phosphoribosyltransferase,0.0,1000.0,False,prpp_c + xan_c --> ppi_c + xmp_c
HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),0.0,1000.0,False,hxan_c + prpp_c --> imp_c + ppi_c
NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),-1000.0,1000.0,True,atp_c + dgdp_c <=> adp_c + dgtp_c
SHK3Dr,Shikimate dehydrogenase,-1000.0,1000.0,True,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP),-1000.0,1000.0,True,atp_c + dudp_c <=> adp_c + dutp_c
NDPK8,Nucleoside-diphosphate kinase (ATP:dADP),-1000.0,1000.0,True,atp_c + dadp_c <=> adp_c + datp_c
DHORTS,Dihydroorotase,-1000.0,1000.0,True,dhor__S_c + h2o_c <=> cbasp_c + h_c
OMPDC,Orotidine-5'-phosphate decarboxylase,0.0,1000.0,False,h_c + orot5p_c --> co2_c + ump_c
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),-1000.0,1000.0,True,pi_c + uri_c <=> r1p_c + ura_c
G5SD,Glutamate-5-semialdehyde dehydrogenase,0.0,1000.0,False,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
CS,Citrate synthase,0.0,1000.0,False,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr,Isocitrate dehydrogenase (NADP),-1000.0,1000.0,True,icit_c + nadp_c <=> akg_c + co2_c + nadph_c
ALATA_L2,Alanine transaminase,0.0,1000.0,False,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
DURIPP,Deoxyuridine phosphorylase,-1000.0,1000.0,True,duri_c + pi_c <=> 2dr1p_c + ura_c
ACALD,Acetaldehyde dehydrogenase (acetylating),-1000.0,1000.0,True,acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c
PTRCTA,Putrescine Transaminase,0.0,1000.0,False,akg_c + ptrc_c --> 4abutn_c + glu__L_c
ACS,Acetyl-CoA synthetase,0.0,1000.0,False,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
CYSDS,Cysteine Desulfhydrase,0.0,1000.0,False,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
MAN6PI,Mannose-6-phosphate isomerase,-1000.0,1000.0,True,man6p_c <=> f6p_c
PPA,Inorganic diphosphatase,0.0,1000.0,False,h2o_c + ppi_c --> h_c + 2.0 pi_c
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,0.0,1000.0,False,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
TRPAS2,Tryptophanase (L-tryptophan),-1000.0,1000.0,True,h2o_c + trp__L_c <=> indole_c + nh4_c + pyr_c
PPCK,Phosphoenolpyruvate carboxykinase,0.0,1000.0,False,atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1,Malic enzyme (NAD),0.0,1000.0,False,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",0.0,1000.0,False,ru5p__D_c --> db4p_c + for_c + h_c
ALAR,Alanine racemase,-1000.0,1000.0,True,ala__L_c <=> ala__D_c
RBFK,Riboflavin kinase,0.0,1000.0,False,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ALATA_L,L-alanine transaminase,-1000.0,1000.0,True,akg_c + ala__L_c <=> glu__L_c + pyr_c
XYLK,Xylulokinase,0.0,1000.0,False,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK,Ribokinase,0.0,1000.0,False,atp_c + rib__D_c --> adp_c + h_c + r5p_c
GLYK,Glycerol kinase,0.0,1000.0,False,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
PPM,Phosphopentomutase,-1000.0,1000.0,True,r1p_c <=> r5p_c
ASPTA,Aspartate transaminase,-1000.0,1000.0,True,akg_c + asp__L_c <=> glu__L_c + oaa_c
ACP1_FMN,Acid phosphatase (FMN),0.0,1000.0,False,fmn_c + h2o_c --> pi_c + ribflv_c
RBFSb,Riboflavin synthase,0.0,1000.0,False,2.0 dmlz_c --> 4r5au_c + ribflv_c
NDP3,Nucleoside diphosphatase  GDP ,0.0,1000.0,False,gdp_c + h2o_c --> gmp_c + h_c + pi_c
CDPPH,CDP phosphohydrolase,0.0,1000.0,False,cdp_c + h2o_c --> cmp_c + h_c + pi_c
