hidden_features,num_heads,dropout,lr,weight_decay,use_class_weights,prauc,f1,precision,recall
32,4,0.3,0.0005,0.0001,False,0.8027786366075518,0.8468468468468469,0.734375,1.0
16,8,0.5,0.01,0.0005,False,0.789201295965167,0.8504672897196262,0.7583333333333333,0.9680851063829787
16,4,0.3,0.0005,0.0005,True,0.788081215398567,0.8530805687203792,0.7692307692307693,0.9574468085106383
8,8,0.3,0.0005,0.0005,False,0.7867656973719175,0.8468468468468469,0.734375,1.0
16,8,0.5,0.01,0.0005,True,0.7818903623313407,0.8532110091743119,0.75,0.9893617021276596
16,4,0.3,0.0005,0.0001,True,0.7803223807366103,0.8532110091743119,0.75,0.9893617021276596
8,4,0.3,0.001,0.0005,False,0.7800260704589378,0.847926267281106,0.7479674796747967,0.9787234042553191
8,4,0.5,0.01,0.0005,True,0.780017474472289,0.848780487804878,0.7837837837837838,0.925531914893617
32,8,0.5,0.01,0.0005,False,0.7724217843735581,0.8468468468468469,0.734375,1.0
32,4,0.3,0.001,0.0005,True,0.7718276573587088,0.8493150684931506,0.744,0.9893617021276596
8,4,0.5,0.01,0.0001,True,0.7629262281562326,0.8468468468468469,0.734375,1.0
8,4,0.3,0.0005,0.0001,False,0.7498796129173398,0.8558139534883721,0.7603305785123967,0.9787234042553191
