dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
199,224308,BSU41040,,NE,12682299,
199,224308,BSU41030,,NE,12682299,
199,224308,BSU41020,,NE,12682299,
199,224308,BSU41010,,NE,12682299,
199,224308,BSU41000,,NE,12682299,
199,224308,BSU40990,,NE,12682299,
199,224308,BSU40980,,NE,12682299,
199,224308,BSU40970,,NE,12682299,
199,224308,BSU40960,,NE,12682299,
199,224308,BSU40950,,NE,12682299,
199,224308,BSU40939,,NE,12682299,
199,224308,BSU40930,,NE,12682299,
199,224308,BSU40920,,NE,12682299,
199,224308,BSU40900,,NE,12682299,
199,224308,BSU40880,,NE,12682299,
199,224308,BSU40870,,NE,12682299,
199,224308,BSU40840,,NE,12682299,
199,224308,BSU40830,,NE,12682299,
199,224308,BSU40820,,NE,12682299,
199,224308,BSU40810,,NE,12682299,
199,224308,BSU40800,,NE,12682299,
199,224308,BSU40790,,NE,12682299,
199,224308,BSU40780,,NE,12682299,
199,224308,BSU40770,,NE,12682299,
199,224308,BSU40760,,NE,12682299,
199,224308,BSU40750,,NE,12682299,
199,224308,BSU40740,,NE,12682299,
199,224308,BSU40730,,NE,12682299,
199,224308,BSU40720,,NE,12682299,
199,224308,BSU40710,,NE,12682299,
199,224308,BSU40700,,NE,12682299,
199,224308,BSU40690,,NE,12682299,
199,224308,BSU40670,,NE,12682299,
199,224308,BSU40650,,NE,12682299,
199,224308,BSU40640,,NE,12682299,
199,224308,BSU40620,,NE,12682299,
199,224308,BSU40610,,NE,12682299,
199,224308,BSU40600,,NE,12682299,
199,224308,BSU40580,,NE,12682299,
199,224308,BSU40570,,NE,12682299,
199,224308,BSU40560,,NE,12682299,
199,224308,BSU40530,,NE,12682299,
199,224308,BSU40529,,NE,12682299,
199,224308,BSU40520,,NE,12682299,
199,224308,BSU40510,,NE,12682299,
199,224308,BSU40480,,NE,12682299,
199,224308,BSU40470,,NE,12682299,
199,224308,BSU40450,,NE,12682299,
199,224308,BSU40430,,NE,12682299,
199,224308,BSU40420,,NE,12682299,
199,224308,BSU40400,,NE,12682299,
199,224308,BSU40380,,NE,12682299,
199,224308,BSU40360,,NE,12682299,
199,224308,BSU40350,,NE,12682299,
199,224308,BSU40340,,NE,12682299,
199,224308,BSU40330,,NE,12682299,
199,224308,BSU40320,,NE,12682299,
199,224308,BSU40310,,NE,12682299,
199,224308,BSU40300,,NE,12682299,
199,224308,BSU40290,,NE,12682299,
199,224308,BSU40270,,NE,12682299,
199,224308,BSU40260,,NE,12682299,
