,reaction,lower_bound,upper_bound,is_reversible,name,flux
EX_etha_e,EX_etha_e,0.0,999999.0,False,Ethanolamine exchange,0.0
EX_drib_e,EX_drib_e,0.0,999999.0,False,Deoxy D Ribose exchange,0.0
EX_csn_e,EX_csn_e,0.0,999999.0,False,Cytosine exchange,0.0
EX_5mtr_e,EX_5mtr_e,0.0,999999.0,False,5-Methylthio-D-ribose exchange,0.0
EX_dtmp_e,EX_dtmp_e,0.0,999999.0,False,DTMP exchange,0.0
EX_6pgc_e,EX_6pgc_e,0.0,999999.0,False,6 Phospho D gluconate exchange,0.0
EX_ctbt_e,EX_ctbt_e,0.0,999999.0,False,Crotonobetaine exchange,0.0
EX_cu2_e,EX_cu2_e,0.0,999999.0,False,Cu2+ exchange,0.0
EX_Larab_e,EX_Larab_e,0.0,999999.0,False,Alpha L Arabinan exchange,0.0
EX_ectoine_e,EX_ectoine_e,0.0,999999.0,False,Ectoine exchange,0.0
EX_cys__D_e,EX_cys__D_e,0.0,999999.0,False,D-Cysteine exchange,0.0
EX_cys__L_e,EX_cys__L_e,0.0,999999.0,False,L-Cysteine exchange,0.0
EX_eths_e,EX_eths_e,0.0,999999.0,False,Ethanesulfonate exchange,0.0
EX_cyst__L_e,EX_cyst__L_e,0.0,999999.0,False,L Cystine exchange,0.0
EX_Lcyst_e,EX_Lcyst_e,0.0,999999.0,False,L-Cysteate exchange,0.0
EX_cytd_e,EX_cytd_e,0.0,999999.0,False,Cytidine exchange,0.0
EX_abt__L_e,EX_abt__L_e,0.0,999999.0,False,L Arabinitol exchange,0.0
EX_etoh_e,EX_etoh_e,0.0,999999.0,False,Ethanol exchange,0.0
EX_dad_2_e,EX_dad_2_e,0.0,999999.0,False,Deoxyadenosine exchange,0.0
EX_dcyt_e,EX_dcyt_e,0.0,999999.0,False,Deoxycytidine exchange,0.0
EX_fe2_e,EX_fe2_e,0.0,999999.0,False,Fe2+ exchange,0.0
EX_dextrin_e,EX_dextrin_e,0.0,999999.0,False,Dextrin exchange,0.0
EX_dha_e,EX_dha_e,0.0,999999.0,False,Dihydroxyacetone exchange,0.0
EX_ac_e,EX_ac_e,0.0,999999.0,False,Acetate exchange,0.26659557617751783
EX_acac_e,EX_acac_e,0.0,999999.0,False,Acetoacetate exchange,0.0
EX_fe3_e,EX_fe3_e,-999999.0,999999.0,True,Fe3+ exchange,-0.002153437610480758
EX_ferrich_e,EX_ferrich_e,0.0,999999.0,False,Ferrichrome exchange,0.0
EX_diact_e,EX_diact_e,0.0,999999.0,False,Diacetyl exchange,0.0
EX_djenk_e,EX_djenk_e,0.0,999999.0,False,Djenkolate exchange,0.0
EX_ferxa_e,EX_ferxa_e,0.0,999999.0,False,Ferroxamine exchange,0.0
EX_fol_e,EX_fol_e,0.0,999999.0,False,EX fol LPAREN e RPAREN ,0.0
EX_acgam_e,EX_acgam_e,0.0,999999.0,False,N-Acetyl-D-glucosamine exchange,0.0
EX_acmana_e,EX_acmana_e,0.0,999999.0,False,N-Acetyl-D-mannosamine exchange,0.0
EX_acnam_e,EX_acnam_e,0.0,999999.0,False,N-Acetylneuraminate exchange,0.0
EX_for_e,EX_for_e,0.0,999999.0,False,Formate exchange,0.0
EX_fru_e,EX_fru_e,0.0,999999.0,False,D-Fructose exchange,0.0
EX_actn__R_e,EX_actn__R_e,0.0,999999.0,False,EX actn R LPAREN e RPAREN ,0.0
EX_ade_e,EX_ade_e,0.0,999999.0,False,Adenine exchange,0.0
EX_adn_e,EX_adn_e,0.0,999999.0,False,Adenosine exchange,0.0
EX_akg_e,EX_akg_e,0.0,999999.0,False,2-Oxoglutarate exchange,0.0
EX_ala_B_e,EX_ala_B_e,0.0,999999.0,False,Beta-Alanine exchange,0.0
EX_ala__D_e,EX_ala__D_e,0.0,999999.0,False,D-Alanine exchange,0.0
EX_ala_L_Thr__L_e,EX_ala_L_Thr__L_e,0.0,999999.0,False,Ala L Thr L exchange,0.0
EX_ala_L_asp__L_e,EX_ala_L_asp__L_e,0.0,999999.0,False,Ala L asp L exchange,0.0
EX_ala__L_e,EX_ala__L_e,0.0,999999.0,False,L-Alanine exchange,0.0
EX_ala_L_gln__L_e,EX_ala_L_gln__L_e,0.0,999999.0,False,Ala Gln exchange,0.0
EX_ala_L_glu__L_e,EX_ala_L_glu__L_e,0.0,999999.0,False,Ala L glu L exchange,0.0
EX_L_alagly_e,EX_L_alagly_e,0.0,999999.0,False,Ala L gly exchange,0.0
EX_ala_L_his__L_e,EX_ala_L_his__L_e,0.0,999999.0,False,Ala His exchange,0.0
EX_ala_L_leu__L_e,EX_ala_L_leu__L_e,0.0,999999.0,False,Ala Leu exchange,0.0
EX_g6p_e,EX_g6p_e,0.0,999999.0,False,D-Glucose 6-phosphate exchange,0.0
EX_gal_e,EX_gal_e,0.0,999999.0,False,D-Galactose exchange,0.0
EX_galctr__D_e,EX_galctr__D_e,0.0,999999.0,False,D Galactarate exchange,0.0
