Unnamed: 0,Gene,Prediction,Measured_growth,Growth_cutoff,Computational_growth,Condition,Dataset
22114,b0002,FP,"0,013333333","0,5","0,8217979336",Glucose,Monk 2015
22115,b0003,TN,0,"0,5",0,Glucose,Monk 2015
22116,b0004,TN,0,"0,5",0,Glucose,Monk 2015
22122,b0025,TN,0,"0,5",0,Glucose,LB_essential
22123,b0029,TN,0,"0,5",0,Glucose,LB_essential
22125,b0031,TN,0,"0,5",0,Glucose,LB_essential
22126,b0032,FP,0,"0,5","0,8217979336",Glucose,Monk 2015
22127,b0033,FP,0,"0,5","0,8217979336",Glucose,Monk 2015
22134,b0048,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22136,b0052,TN,"0,136666667","0,5",0,Glucose,Monk 2015
22137,b0054,TN,0,"0,5",0,Glucose,LB_essential
22142,b0071,TN,0,"0,5",0,Glucose,Monk 2015
22143,b0072,TN,0,"0,5",0,Glucose,Monk 2015
22144,b0073,FP,0,"0,5","0,8217979336",Glucose,Monk 2015
22145,b0074,TN,0,"0,5",0,Glucose,Monk 2015
22148,b0084,TN,0,"0,5",0,Glucose,LB_essential
22149,b0085,TN,0,"0,5",0,Glucose,LB_essential
22150,b0086,TN,0,"0,5",0,Glucose,LB_essential
22151,b0087,TN,0,"0,5",0,Glucose,LB_essential
22152,b0088,TN,0,"0,5",0,Glucose,LB_essential
22153,b0089,TN,0,"0,5",0,Glucose,LB_essential
22154,b0090,TN,0,"0,5",0,Glucose,LB_essential
22155,b0091,TN,0,"0,5",0,Glucose,LB_essential
22157,b0096,TN,0,"0,5",0,Glucose,LB_essential
22159,b0103,TN,0,"0,5",0,Glucose,LB_essential
22161,b0109,TN,0,"0,5",0,Glucose,Monk 2015
22166,b0116,FP,"0,22","0,5","0,7582719433",Glucose,Monk 2015
22173,b0126,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22177,b0142,TN,0,"0,5",0,Glucose,LB_essential
22183,b0154,TN,0,"0,5",0,Glucose,LB_essential
22186,b0159,TN,"0,493333333","0,5",0,Glucose,Monk 2015
22188,b0166,TN,0,"0,5",0,Glucose,LB_essential
22189,b0171,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22190,b0173,TN,0,"0,5",0,Glucose,LB_essential
22191,b0174,TN,0,"0,5",0,Glucose,LB_essential
22192,b0175,TN,0,"0,5",0,Glucose,LB_essential
22193,b0179,TN,0,"0,5",0,Glucose,LB_essential
22194,b0180,TN,0,"0,5",0,Glucose,LB_essential
22195,b0181,TN,0,"0,5",0,Glucose,LB_essential
22196,b0182,TN,0,"0,5",0,Glucose,LB_essential
22197,b0185,TN,0,"0,5",0,Glucose,LB_essential
22211,b0242,TN,0,"0,5",0,Glucose,Monk 2015
22212,b0243,TN,0,"0,5",0,Glucose,Monk 2015
22249,b0369,TN,0,"0,5",0,Glucose,LB_essential
22253,b0386,TN,0,"0,5",0,Glucose,Monk 2015
22261,b0414,TN,0,"0,5",0,Glucose,LB_essential
22262,b0415,TN,0,"0,5",0,Glucose,LB_essential
22263,b0417,TN,0,"0,5",0,Glucose,LB_essential
22264,b0418,FP,"0,44","0,5","0,8217979336",Glucose,Monk 2015
22265,b0420,TN,0,"0,5",0,Glucose,LB_essential
22266,b0421,TN,0,"0,5",0,Glucose,LB_essential
22267,b0423,TN,"0,436666667","0,5",0,Glucose,Monk 2015
22284,b0474,FP,0,"0,5","0,8217935269",Glucose,LB_essential
22285,b0475,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22303,b0522,TN,0,"0,5",0,Glucose,Monk 2015
22304,b0523,TN,0,"0,5",0,Glucose,Monk 2015
22305,b0524,TN,0,"0,5",0,Glucose,LB_essential
22306,b0529,FP,0,"0,5","0,803243054",Glucose,LB_essential
22315,b0583,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22317,b0585,FP,"0,146666667","0,5","0,8217979336",Glucose,Monk 2015
22319,b0588,FP,"0,106666667","0,5","0,8217979336",Glucose,Monk 2015
22320,b0589,FP,"0,08","0,5","0,8217979336",Glucose,Monk 2015
22321,b0590,FP,"0,006666667","0,5","0,8217979336",Glucose,Monk 2015
22323,b0592,FP,"0,05","0,5","0,8217979336",Glucose,Monk 2015
22340,b0628,FP,"0,271666667","0,5","0,8217979336",Glucose,Monk 2015
22343,b0635,TN,0,"0,5",0,Glucose,LB_essential
22345,b0639,TN,0,"0,5","0,000000001276763294",Glucose,LB_essential
22346,b0641,TN,0,"0,5",0,Glucose,LB_essential
22353,b0657,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22361,b0684,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22369,b0720,TN,"0,093333333","0,5",0,Glucose,Monk 2015
22380,b0733,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22382,b0750,TN,"0,003333333","0,5",0,Glucose,Monk 2015
22397,b0775,TN,"0,293333333","0,5",0,Glucose,Monk 2015
22442,b0886,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22452,b0907,FP,0,"0,5","0,7876170472",Glucose,Monk 2015
22453,b0908,TN,0,"0,5",0,Glucose,Monk 2015
22455,b0914,TN,0,"0,5",0,Glucose,LB_essential
22456,b0915,TN,0,"0,5",0,Glucose,LB_essential
22457,b0918,TN,0,"0,5",0,Glucose,LB_essential
22468,b0945,FP,"0,03","0,5","0,8217979341",Glucose,Monk 2015
22469,b0954,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22499,b1062,TN,0,"0,5",0,Glucose,Monk 2015
22501,b1069,TN,0,"0,5",0,Glucose,LB_essential
22504,b1092,TN,0,"0,5",0,Glucose,LB_essential
22505,b1093,TN,0,"0,5",0,Glucose,LB_essential
22506,b1094,TN,0,"0,5",0,Glucose,LB_essential
22510,b1098,TN,0,"0,5",0,Glucose,LB_essential
22523,b1131,TN,0,"0,5",0,Glucose,LB_essential
22525,b1136,TN,0,"0,5",0,Glucose,Monk 2015
22537,b1207,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22538,b1208,TN,0,"0,5",0,Glucose,LB_essential
22539,b1210,TN,0,"0,5",0,Glucose,LB_essential
22540,b1215,TN,0,"0,5",0,Glucose,LB_essential
22558,b1252,FP,"0,25","0,5","0,8217979336",Glucose,Monk 2015
22559,b1260,TN,0,"0,5",0,Glucose,Monk 2015
22560,b1261,TN,0,"0,5",0,Glucose,Monk 2015
22561,b1262,TN,"0,033333333","0,5",0,Glucose,Monk 2015
22562,b1263,TN,"0,196666667","0,5",0,Glucose,Monk 2015
22563,b1264,TN,"0,131666667","0,5",0,Glucose,Monk 2015
22566,b1277,TN,0,"0,5",0,Glucose,LB_essential
22568,b1281,TN,0,"0,5",0,Glucose,Monk 2015
22570,b1288,TN,0,"0,5",0,Glucose,LB_essential
22679,b1638,FP,"0,011666667","0,5","0,8217979336",Glucose,Monk 2015
22687,b1662,TN,0,"0,5",0,Glucose,LB_essential
22696,b1684,FP,"0,393333333","0,5","0,8217979336",Glucose,Monk 2015
22699,b1693,TN,0,"0,5",0,Glucose,Monk 2015
22716,b1740,TN,0,"0,5",0,Glucose,LB_essential
22729,b1779,FP,0,"0,5","0,5758353074",Glucose,LB_essential
22763,b1912,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22779,b2019,TN,0,"0,5",0,Glucose,Monk 2015
22780,b2020,TN,0,"0,5",0,Glucose,Monk 2015
22781,b2021,TN,0,"0,5",0,Glucose,Monk 2015
22782,b2022,TN,0,"0,5",0,Glucose,Monk 2015
22783,b2023,TN,0,"0,5",0,Glucose,Monk 2015
22784,b2024,TN,0,"0,5",0,Glucose,Monk 2015
22785,b2025,TN,0,"0,5",0,Glucose,Monk 2015
22786,b2026,TN,0,"0,5",0,Glucose,Monk 2015
22829,b2153,TN,0,"0,5",0,Glucose,LB_essential
22864,b2232,FP,"0,406666667","0,5","0,8217979336",Glucose,Monk 2015
22865,b2234,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22866,b2235,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22912,b2312,TN,0,"0,5",0,Glucose,Monk 2015
22913,b2315,TN,0,"0,5","0,0000000001728810281",Glucose,LB_essential
22914,b2316,TN,0,"0,5",0,Glucose,LB_essential
22915,b2320,FP,"0,268333333","0,5","0,8217946482",Glucose,Monk 2015
22916,b2323,TN,0,"0,5",0,Glucose,LB_essential
22918,b2329,TN,0,"0,5",0,Glucose,Monk 2015
22932,b2400,TN,0,"0,5",0,Glucose,LB_essential
22935,b2411,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22937,b2414,FP,"0,216666667","0,5","0,8217979336",Glucose,Monk 2015
22938,b2415,FP,"0,393333333","0,5","0,8018784569",Glucose,Monk 2015
