node_index,prediction_score,predicted_class,true_label,error_type
5,0.6973818,1,1,TP
6,0.5569776,1,1,TP
11,0.21495476,1,0,FP
12,0.20179462,1,0,FP
13,0.27510327,1,0,FP
14,0.5465366,1,0,FP
15,0.4456524,1,0,FP
16,0.19403662,1,0,FP
17,0.4593051,1,0,FP
19,0.4575193,1,0,FP
22,0.33925015,1,0,FP
23,0.027172381,0,0,TN
24,0.44573635,1,0,FP
32,0.54616576,1,0,FP
33,0.90284145,1,1,TP
34,0.53643095,1,1,TP
37,0.5978528,1,1,TP
38,0.5810337,1,1,TP
39,0.8172108,1,1,TP
48,0.5510177,1,0,FP
51,0.52323526,1,1,TP
52,0.97316426,1,1,TP
53,0.685746,1,1,TP
54,0.7618352,1,1,TP
56,0.5503398,1,1,TP
58,0.5222679,1,1,TP
60,0.54542106,1,1,TP
61,0.55697757,1,1,TP
62,0.72813594,1,1,TP
63,0.4002827,1,1,TP
64,0.556976,1,1,TP
65,0.5505048,1,1,TP
66,0.86311996,1,1,TP
69,0.4583779,1,0,FP
70,0.30453247,1,0,FP
71,0.6789473,1,1,TP
75,0.5503398,1,1,TP
76,0.76572907,1,1,TP
77,0.077381454,1,0,FP
78,0.5560379,1,1,TP
88,0.5379176,1,0,FP
89,0.5216056,1,0,FP
96,0.5387831,1,1,TP
104,0.5264337,1,0,FP
105,0.113334216,1,0,FP
106,0.009165791,0,0,TN
107,0.39992326,1,0,FP
108,0.37609047,1,0,FP
114,0.54653674,1,1,TP
115,0.5569229,1,1,TP
118,0.8641596,1,1,TP
119,0.5569776,1,1,TP
122,0.73406696,1,1,TP
123,0.5487325,1,1,TP
125,0.5920797,1,1,TP
126,0.5569776,1,1,TP
127,0.54701316,1,1,TP
129,0.9674398,1,1,TP
130,0.91406345,1,1,TP
134,0.15778418,1,0,FP
136,0.5400222,1,0,FP
137,0.26955554,1,0,FP
140,0.40038437,1,1,TP
141,0.8416866,1,1,TP
142,0.60195404,1,0,FP
143,0.9314025,1,1,TP
144,0.40006366,1,1,TP
145,0.54646647,1,1,TP
146,0.5170742,1,1,TP
150,0.16596243,1,0,FP
153,0.5464784,1,1,TP
155,0.17306253,1,0,FP
156,0.53868407,1,0,FP
157,0.5457541,1,1,TP
158,0.30512738,1,0,FP
159,0.21096869,1,0,FP
161,0.17695542,1,0,FP
162,0.064543396,1,0,FP
164,0.51144797,1,0,FP
165,0.5465367,1,1,TP
166,0.3999601,1,1,TP
168,0.5859618,1,1,TP
169,0.55697757,1,1,TP
171,0.10514792,1,0,FP
172,0.2494826,1,0,FP
173,0.5032523,1,0,FP
174,0.54542106,1,1,TP
180,0.43309134,1,0,FP
185,0.5402226,1,1,TP
188,0.0066203685,0,0,TN
189,0.4000155,1,1,TP
190,0.71679205,1,1,TP
191,0.5426191,1,1,TP
192,0.70566,1,1,TP
199,0.013514785,0,0,TN
203,0.45911255,1,1,TP
206,0.55148107,1,0,FP
207,0.88944644,1,1,TP
208,0.0077918745,0,0,TN
209,0.5558007,1,0,FP
211,0.6703919,1,1,TP
217,0.39458752,1,0,FP
218,0.22482438,1,0,FP
219,0.032170117,0,0,TN
221,0.5336183,1,1,TP
222,0.09733071,1,0,FP
228,0.6466361,1,1,TP
229,0.7874628,1,1,TP
231,0.4027025,1,0,FP
232,0.036981057,0,0,TN
234,0.5465367,1,1,TP
239,0.4009866,1,1,TP
240,0.9839543,1,1,TP
241,0.5465366,1,0,FP
243,0.2516914,1,0,FP
248,0.55004704,1,1,TP
249,0.5503831,1,1,TP
250,0.7674173,1,1,TP
266,0.20274147,1,0,FP
269,0.40020213,1,1,TP
276,0.6790454,1,1,TP
277,0.6292303,1,1,TP
278,0.28999454,1,0,FP
279,0.5696169,1,0,FP
282,0.19508137,1,0,FP
283,0.22247596,1,0,FP
289,0.53074294,1,1,TP
290,0.7724891,1,1,TP
292,0.5203318,1,0,FP
293,0.4908382,1,0,FP
300,0.98936385,1,1,TP
301,0.7389938,1,1,TP
304,0.5569776,1,0,FP
310,0.14362398,1,0,FP
311,0.09631904,1,0,FP
312,0.5569229,1,1,TP
313,0.53871703,1,0,FP
314,0.97732466,1,1,TP
321,0.0856898,1,0,FP
326,0.5499362,1,0,FP
328,0.68590593,1,1,TP
329,0.5626604,1,1,TP
337,0.83220977,1,1,TP
338,0.104133785,1,0,FP
339,0.48509246,1,0,FP
346,0.5503398,1,1,TP
347,0.10472991,1,0,FP
348,0.5503398,1,0,FP
350,0.21041445,1,0,FP
358,0.01711615,0,0,TN
362,0.153947,1,0,FP
363,0.20412001,1,0,FP
366,0.3824081,1,0,FP
367,0.31256643,1,0,FP
368,0.2245603,1,0,FP
369,0.28318498,1,0,FP
370,0.90181655,1,1,TP
376,0.12757248,1,0,FP
377,0.03868916,0,0,TN
378,0.41006643,1,1,TP
382,0.76809514,1,1,TP
383,0.5465366,1,0,FP
386,0.5569379,1,0,FP
387,0.111405395,1,0,FP
390,0.4097971,1,1,TP
391,0.21696135,1,0,FP
398,0.5569776,1,0,FP
