hidden_features,num_heads,dropout,lr,weight_decay,use_class_weights,prauc,f1,precision,recall
8,8,0.3,0.0005,0.0005,False,0.8487443153442666,0.9135254988913526,0.8408163265306122,1.0
32,8,0.5,0.01,0.0005,False,0.8280692893534347,0.9135254988913526,0.8408163265306122,1.0
8,4,0.3,0.0005,0.0001,False,0.8204465568667009,0.9135254988913526,0.8408163265306122,1.0
16,4,0.3,0.0005,0.0001,True,0.8176734338529046,0.9155555555555556,0.8442622950819673,1.0
8,4,0.3,0.001,0.0005,False,0.8141674841025366,0.9135254988913526,0.8408163265306122,1.0
32,4,0.3,0.001,0.0005,True,0.8129831598934909,0.9135254988913526,0.8408163265306122,1.0
16,8,0.5,0.01,0.0005,False,0.812974113596524,0.9135254988913526,0.8408163265306122,1.0
16,8,0.5,0.01,0.0005,True,0.8091259331940377,0.9155555555555556,0.8442622950819673,1.0
32,4,0.3,0.0005,0.0001,False,0.8070560337916222,0.9135254988913526,0.8408163265306122,1.0
8,4,0.5,0.01,0.0001,True,0.8043918111117235,0.9135254988913526,0.8408163265306122,1.0
8,4,0.5,0.01,0.0005,True,0.804378347084036,0.9155555555555556,0.8442622950819673,1.0
16,4,0.3,0.0005,0.0005,True,0.8043364327133045,0.9135254988913526,0.8408163265306122,1.0
