reaction,lower_bound,upper_bound,is_reversible,name,flux,essentiality
CYTDK2,0.0,1000.0,False,Cytidine kinase (GTP),0.0,0
XPPT,0.0,1000.0,False,Xanthine phosphoribosyltransferase,0.0,0
HXPRT,0.0,1000.0,False,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),0.0,0
NDPK5,-1000.0,1000.0,True,Nucleoside-diphosphate kinase (ATP:dGDP),0.0,0
SHK3Dr,-1000.0,1000.0,True,Shikimate dehydrogenase,0.31320280666582717,0
NDPK6,-1000.0,1000.0,True,Nucleoside-diphosphate kinase (ATP:dUDP),0.0,0
NDPK8,-1000.0,1000.0,True,Nucleoside-diphosphate kinase (ATP:dADP),0.0,0
DHORTS,-1000.0,1000.0,True,Dihydroorotase,-0.27184664745401266,1
OMPDC,0.0,1000.0,False,Orotidine-5'-phosphate decarboxylase,0.27184664745401266,1
PYNP2r,-1000.0,1000.0,True,Pyrimidine-nucleoside phosphorylase (uracil),0.0,0
G5SD,0.0,1000.0,False,Glutamate-5-semialdehyde dehydrogenase,0.181662542217829,1
CS,0.0,1000.0,False,Citrate synthase,5.280300235245898,1
ICDHyr,-1000.0,1000.0,True,Isocitrate dehydrogenase (NADP),5.280300235245896,1
ALATA_L2,0.0,1000.0,False,Alanine transaminase,0.0,1
DURIPP,-1000.0,1000.0,True,Deoxyuridine phosphorylase,0.0,0
ACALD,-1000.0,1000.0,True,Acetaldehyde dehydrogenase (acetylating),0.0,0
PTRCTA,0.0,1000.0,False,Putrescine Transaminase,0.0,0
ACS,0.0,1000.0,False,Acetyl-CoA synthetase,0.0,0
CYSDS,0.0,1000.0,False,Cysteine Desulfhydrase,0.0,1
MAN6PI,-1000.0,1000.0,True,Mannose-6-phosphate isomerase,0.0,0
PPA,0.0,1000.0,False,Inorganic diphosphatase,2.877577237863149,1
APRAUR,0.0,1000.0,False,5-amino-6-(5-phosphoribosylamino)uracil reductase,0.00036652187839747577,1
TRPAS2,-1000.0,1000.0,True,Tryptophanase (L-tryptophan),-0.04671345994113707,0
PPCK,0.0,1000.0,False,Phosphoenolpyruvate carboxykinase,0.0,0
ME1,0.0,1000.0,False,Malic enzyme (NAD),0.0,0
DB4PS,0.0,1000.0,False,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",0.0007330437567949516,1
ALAR,-1000.0,1000.0,True,Alanine racemase,0.03425418146942412,0
RBFK,0.0,1000.0,False,Riboflavin kinase,0.00018326093919874311,1
ALATA_L,-1000.0,1000.0,True,L-alanine transaminase,-0.8259118540823389,0
XYLK,0.0,1000.0,False,Xylulokinase,0.0,0
RBK,0.0,1000.0,False,Ribokinase,0.0,0
GLYK,0.0,1000.0,False,Glycerol kinase,-6.795919800740245e-17,0
PPM,-1000.0,1000.0,True,Phosphopentomutase,-0.767020170562689,0
ASPTA,-1000.0,1000.0,True,Aspartate transaminase,-2.406078891424294,0
ACP1_FMN,0.0,1000.0,False,Acid phosphatase (FMN),0.0,0
RBFSb,0.0,1000.0,False,Riboflavin synthase,0.0003665218783974759,1
NDP3,0.0,1000.0,False,Nucleoside diphosphatase  GDP ,0.0,0
CDPPH,0.0,1000.0,False,CDP phosphohydrolase,0.0,0
NDP7,0.0,1000.0,False,Nucleoside diphosphatase  UDP ,0.0,0
FBP,0.0,1000.0,False,Fructose-bisphosphatase,0.0,0
EX_pi_e,-1000.0,1000.0,True,Phosphate exchange,-0.7927112175635534,-1
GLGC,0.0,1000.0,False,Glucose-1-phosphate adenylyltransferase,0.0,0
ALATA_D2,0.0,1000.0,False,D-alanine transaminase,0.0,1
PYK,0.0,1000.0,False,Pyruvate kinase,0.0,0
SHCHD2,0.0,1000.0,False,Sirohydrochlorin dehydrogenase (NAD),0.0001832609391987327,1
EX_co2_e,-1000.0,1000.0,True,CO2 exchange,21.75533778678334,-1
A5PISO,-1000.0,1000.0,True,Arabinose-5-phosphate isomerase,0.03197780119327843,0
PMDPHT,0.0,1000.0,False,Pyrimidine phosphatase,0.00036652187839747577,0
CPPPGO,0.0,1000.0,False,Coproporphyrinogen oxidase (O2 required),0.00018326093919873276,0
EX_met__L_e,0.0,1000.0,False,L-Methionine exchange,0.0,-1
GTHOr,-1000.0,1000.0,True,Glutathione oxidoreductase,0.0,0
ILETA,-1000.0,1000.0,True,Isoleucine transaminase,-0.2387561318586037,1
DHORD5,0.0,1000.0,False,Dihydroorotic acid (menaquinone-8),0.0,1
EX_metsox_S__L_e,0.0,1000.0,False,L-Methionine S-oxide exchange,0.0,-1
GLYCTO2,0.0,1000.0,False,Glycolate oxidase,0.0,0
VALTA,-1000.0,1000.0,True,Valine transaminase,0.0,1
GLYCTO3,0.0,1000.0,False,Glycolate oxidase,0.0,0
IPPMIb,-1000.0,1000.0,True,2-isopropylmalate hydratase,-0.37024544483472754,1
GLYCTO4,0.0,1000.0,False,Glycolate oxidase,0.0,0
ORPT,-1000.0,1000.0,True,Orotate phosphoribosyltransferase,-0.27184664745401266,1
RBFSa,0.0,1000.0,False,Riboflavin synthase,0.0007330437567949516,1
ACHBS,0.0,1000.0,False,2-aceto-2-hydroxybutanoate synthase,0.23875613185860367,0
PFK_3,0.0,1000.0,False,Phosphofructokinase (s7p),0.0,1
DHAD2,0.0,1000.0,False,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",0.2387561318586037,1
ACLS,0.0,1000.0,False,Acetolactate synthase,0.7185529938312933,0
TRPS2,0.0,1000.0,False,Tryptophan synthase (indole),0.0,1
PSCVT,-1000.0,1000.0,True,3-phosphoshikimate 1-carboxyvinyltransferase,0.31320280666582717,1
G3PD5,0.0,1000.0,False,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),0.0,0
G1PP,0.0,1000.0,False,Glucose-1-phosphatase,0.0,0
PFL,0.0,1000.0,False,Pyruvate formate lyase,0.0,0
EX_acgam_e,0.0,1000.0,False,N-Acetyl-D-glucosamine exchange,0.0,-1
ANS,0.0,1000.0,False,Anthranilate synthase,0.04671345994113704,1
FRD2,0.0,1000.0,False,Fumarate reductase,0.0,0
FRD3,0.0,1000.0,False,Fumarate reductase,0.0,0
ANPRT,0.0,1000.0,False,Anthranilate phosphoribosyltransferase,0.04671345994113704,1
POX,0.0,1000.0,False,Pyruvate oxidase,0.0,0
CHORM,0.0,1000.0,False,Chorismate mutase,0.2657563029679058,1
PTAr,-1000.0,1000.0,True,Phosphotransacetylase,1.7783769369901075,0
CHORS,0.0,1000.0,False,Chorismate synthase,0.31320280666582717,1
IGPS,0.0,1000.0,False,Indole-3-glycerol-phosphate synthase,0.04671345994113706,1
ACKr,-1000.0,1000.0,True,Acetate kinase,-1.7783769369901077,0
EX_cellb_e,0.0,1000.0,False,Cellobiose exchange,0.0,-1
EX_crn_e,0.0,1000.0,False,L-Carnitine exchange,0.0,-1
EX_hxan_e,0.0,1000.0,False,Hypoxanthine exchange,0.0,-1
EX_ile__L_e,0.0,1000.0,False,L-Isoleucine exchange,0.0,-1
EX_chol_e,0.0,1000.0,False,Choline exchange,0.0,-1
EX_fe3_e,-1000.0,1000.0,True,Fe3+ exchange,-0.006416598265756525,-1
LEUTAi,0.0,1000.0,False,Leucine transaminase (irreversible),0.3702454448347276,1
EX_lac__L_e,0.0,1000.0,False,L-Lactate exchange,0.0,-1
EX_leu__L_e,0.0,1000.0,False,L-Leucine exchange,0.0,-1
EX_glcn_e,0.0,1000.0,False,D-Gluconate exchange,0.0,-1
EX_no3_e,0.0,1000.0,False,Nitrate exchange,0.0,-1
EX_h_e,-1000.0,1000.0,True,H+ exchange,9.81424009857886,-1
DMATT,0.0,1000.0,False,Dimethylallyltranstransferase,0.0002284598255408412,1
EX_orn_e,0.0,1000.0,False,Ornithine exchange,0.0,-1
GRTT,0.0,1000.0,False,Geranyltranstransferase,0.0002284598255408412,1
EX_gln__L_e,0.0,1000.0,False,L-Glutamine exchange,0.0,-1
UPP3S,0.0,1000.0,False,Uroporphyrinogen-III synthase,0.0003665218783974656,1
EX_pro__L_e,0.0,1000.0,False,L-Proline exchange,0.0,-1
EX_glyc_e,0.0,1000.0,False,Glycerol exchange,0.0,-1
UPPDC1,0.0,1000.0,False,Uroporphyrinogen decarboxylase (uroporphyrinogen III),0.00018326093919873273,1
EX_man_e,0.0,1000.0,False,D-Mannose exchange,0.0,-1
TMDPP,-1000.0,1000.0,True,Thymidine phosphorylase,0.0,0
EX_ade_e,0.0,1000.0,False,Adenine exchange,0.0,-1
EX_mn2_e,-1000.0,1000.0,True,Mn2+ exchange,-0.0005678623721359837,-1
EX_4abut_e,0.0,1000.0,False,4-Aminobutanoate exchange,0.0,-1
EX_ac_e,0.0,1000.0,False,Acetate exchange,2.2568161887764453,-1
EX_akg_e,0.0,1000.0,False,2-Oxoglutarate exchange,0.0,-1
EX_ala__L_e,0.0,1000.0,False,L-Alanine exchange,0.0,-1
EX_arg__L_e,0.0,1000.0,False,L-Arginine exchange,0.0,-1
EX_asp__L_e,0.0,1000.0,False,L-Aspartate exchange,0.0,-1
EX_pyr_e,0.0,1000.0,False,Pyruvate exchange,0.0,-1
EX_succ_e,0.0,1000.0,False,Succinate exchange,0.0,-1
EX_thymd_e,0.0,1000.0,False,Thymidine exchange,0.0,-1
EX_rib__D_e,0.0,1000.0,False,D-Ribose exchange,0.0,-1
EX_tyr__L_e,0.0,1000.0,False,L-Tyrosine exchange,0.0,-1
EX_cytd_e,0.0,1000.0,False,Cytidine exchange,0.0,-1
EX_dcyt_e,0.0,1000.0,False,Deoxycytidine exchange,0.0,-1
MOAT,0.0,1000.0,False,3-deoxy-D-manno-octulosonic acid transferase,0.01598890059663921,1
EX_fum_e,0.0,1000.0,False,Fumarate exchange,0.0,-1
EX_sbt__D_e,0.0,1000.0,False,D-Sorbitol exchange,0.0,-1
EX_glu__L_e,0.0,1000.0,False,L-Glutamate exchange,0.0,-1
UDCPDPS,0.0,1000.0,False,Undecaprenyl diphosphate synthase,4.519888634946447e-05,1
ECOAH6,-1000.0,1000.0,True,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),0.2285058462324791,0
USHD,0.0,1000.0,False,UDP-sugar hydrolase,0.015988900596639214,1
EX_gua_e,0.0,1000.0,False,Guanine exchange,0.0,-1
ENO,-1000.0,1000.0,True,Enolase,15.67630999239155,1
FBA,-1000.0,1000.0,True,Fructose-bisphosphate aldolase,8.349613328792039,0
HCO3E,-1000.0,1000.0,True,HCO3 equilibration reaction,0.4319567170644706,0
MGSA,0.0,1000.0,False,Methylglyoxal synthase,0.0,0
IMPC,-1000.0,1000.0,True,IMP cyclohydrolase,-0.44585167652622926,1
IMPD,0.0,1000.0,False,IMP dehydrogenase,0.1998842678001284,1
PPS,0.0,1000.0,False,Phosphoenolpyruvate synthase,0.0,0
ECOAH4,-1000.0,1000.0,True,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),0.292461448619036,0
LPADSS,0.0,1000.0,False,Lipid A disaccaride synthase,0.01598890059663921,1
GLUTRS,0.0,1000.0,False,Glutamyl-tRNA synthetase,0.0029321750271797233,1
TDSK,0.0,1000.0,False,Tetraacyldisaccharide 4'kinase,0.01598890059663921,1
PGI,-1000.0,1000.0,True,Glucose-6-phosphate isomerase,7.1940884316465885,0
TMPPP,0.0,1000.0,False,Thiamine-phosphate diphosphorylase,0.00018326093919873276,1
EX_btn_e,0.0,1000.0,False,Biotin exchange,0.0,-1
PGK,-1000.0,1000.0,True,Phosphoglycerate kinase,-17.08802283480391,1
EX_ptrc_e,0.0,1000.0,False,Putrescine exchange,0.0,-1
EDA,0.0,1000.0,False,2-dehydro-3-deoxy-phosphogluconate aldolase,0.0,0
EX_spmd_e,0.0,1000.0,False,Spermidine exchange,0.0,-1
